PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s)
40144970,Development of a visualized risk prediction system for sarcopenia in older adults using machine learning: a cohort study based on CHARLS.,2025,"Du J, Tao X, Zhu L, Wang H, Qi W, Min X, Wei S, Zhang X, Liu Q",", , , , , , , , "
40144618,Early prediction of Alzheimer's disease using artificial intelligence and cortical features on T1WI sequences.,2025,"Zeng R, Yang B, Wu F, Liu H, Wu X, Tang L, Song R, Zheng Q, Wang X, Guo D",", , , , , , , , , "
40144330,Artificial Intelligence to Promote Racial and Ethnic Cardiovascular Health Equity.,2024 Nov,"Amponsah D, Thamman R, Brandt E, James C, Spector-Bagdady K, Yong CM",", , , , , "
40144136,Detection Rate of Diabetic Retinopathy Before and After Implementation of Autonomous AI-based Fundus Photograph Analysis in a Resource-Limited Area in Belize.,2025,"Esmaeilkhanian H, Gutierrez KG, Myung D, Fisher AC",", , , "
40143622,Training Bioethics Professionals in AI Ethics: A Framework.,2025 Mar 27,"Aucouturier E, Grinbaum A",", "
40142746,Time-Dependent Autonomic Dysregulation and Co-Activation Induced by Periodic Limb Movements in Sleep.,2025 Mar 13,"Malkiewicz MA, Grzywinska M, Malinowski KS, Partinen E, Partinen M, Pyrzowski J, Wszedybyl-Winklewska M",", , , , , , "
40142741,Prognostic Markers of Adverse Outcomes in Acute Heart Failure: Use of Machine Learning and Network Analysis with Real Clinical Data.,2025 Mar 13,"Shchekochikhin D, Charaya K, Shilova A, Nesterov A, Pershina E, Sherashov A, Panov S, Ibraimov S, Bogdanova A, Suvorov A, Trushina O, Bguasheva Z, Rozina N, Klimenko A, Mareyeva V, Voinova N, Dukhnovskaya A, Konchina S, Zakaryan E, Kopylov P, Syrkin A, Andreev D",", , , , , , , , , , , , , , , , , , , , , "
40142654,How to Limit Interdialytic Weight Gain in Patients on Maintenance Hemodialysis: State of the Art and Perspectives.,2025 Mar 9,"Bossola M, Mariani I, Strizzi CT, Piccinni CP, Di Stasio E",", , , , "
40142283,The Application of Machine Learning Models to Predict Stillbirths.,2025 Mar 7,"Gunenc O, Dogru S, Yaman FK, Ezveci H, Metin US, Acar A",", , , , , "
40142251,Artificial Intelligence in Breast Reconstruction: A Narrative Review.,2025 Feb 28,"Rugină AI, Ungureanu A, Giuglea C, Marinescu SA",", , , "
