PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s)
40151982,"Effects of climate, virus, and host characteristics on the seroprevalence of pathogenic viruses in terrestrial mammals.",2025 Mar 28,"Gao H, Li Y, Zhang C, Wang H, Nie Y",", , , , "
40151923,The future of paediatric sleep medicine: a blueprint for advancing the field.,2025 Mar 28,"Schlarb AA, Blunden S, Brand S, Bruni O, Corkum P, Horne RSC, Ipsiroglu OS, Quante M, Spruyt K, Owens J",", , , , , , , , , "
40151837,Genomic Insights into the Successful Invasion of the Avian Vampire Fly (Philornis downsi ) in the Galápagos Islands.,2025 Mar 5,"Basnet A, Palacios C, Meng H, Nakhwa DR, Farmer T, Dahal N, Anchundia D, Heimpel GE, Causton CE, Koop JAH, Lamichhaney S",", , , , , , , , , , "
40151765,The PAICE project: Integrating health and health equity into UK climate change policy.,2025,"Davies M, Dearman C, Green R, Haines A, Heaviside C, Karakas F, Kumar Kuppili S, Michie S, Milner J, Moore G, Osrin D, Pastorino S, Petrou G, Pluchinotta I, Simpson C, Symonds P, Turcu C, Whitmee S, Zhou K, Zimmermann N",", , , , , , , , , , , , , , , , , , , "
40151503,"Quantifying the association between pregnancy exposure to biomass-attributable PM(2.5) and the risk of preterm birth and stillbirth: A case-control study in Sydney, Australia for 2010-2020.",2025 Apr,"Singh T, Van Buskirk J, Morgan G, Meissner K, Green D, Jegasothy E",", , , , , "
40151450,Moving beyond the physical impervious surface impact and urban habitat fragmentation of Alaska: quantitative human footprint inference from the first large scale 30 m high-resolution Landscape metrics big data quantification in R and the cloud.,2025,"Steiner M, Huettmann F",", "
40150987,"Transformation of Plant Breeding Using Data Analytics and Information Technology: Innovations, Applications, and Prospective Directions.",2025 Jan 23,"Bhuiyan MMR, Noman IR, Aziz MM, Rahaman MM, Islam MR, Manik MMTG, Das K",", , , , , , "
40150980,Response of Nitrogen Cycle Microorganisms to Multifactorial Global Changes in Soil Ecosystems.,2025 Mar 19,Sidorenko M,
40150920,"Sustainability in Radiology: Position Paper and Call to Action From ACR, AOSR, ASR, CAR, CIR, ESR, ESRNM, ISR, IS3R, RANZCR, and RSNA.",2025 Apr,"Rockall AG, Allen B, Brown MJ, El-Diasty T, Fletcher J, Gerson RF, Goergen S, González APM, Grist TM, Hanneman K, Hess CP, Ho ELM, Salama DH, Schoen J, Sheard S",", , , , , , , , , , , , , , "
40150875,"Genome-wide Identification, Characterization, and Expression Analysis of NHX Genes in Phaseolus vulgaris L. under Salt Stress: An In Silico Approach.",2025 Mar 21,"Barbosa EM, Oliveira J, Santos TBD, Souza SGH",", , , "
