PubmedID,Title,Publication Date,Non-academic Author(s),Company Affiliation(s),Corresponding Author Email
40152019,Establishing Artificial Intelligence-Powered Virtual Tumor Board Meetings in Pakistan.,2025 Jan-Dec,"Khan SR, Khan A, Tareen A",", , ",
40152010,Synergistic Anticancer Effects of Silibinin and Sulforaphane: Targeting Gastric Cancer via PI3K/AKT and ERK1/2 MAPK Pathway Inhibition and Molecular Docking Insights.,2025 Apr,"Liu Y, Zhang M",", ",
40152005,Deep Learning-Based Auto-Segmentation for Liver Yttrium-90 Selective Internal Radiation Therapy.,2025 Jan-Dec,"Li J, Choi W, Anne R",", , ",
40151995,Culture Is Key: Engaging Culturally and Linguistically Diverse Populations in Breast Cancer Screening in High Income Contexts: A Scoping Review.,2025 Apr,"Jaques K, Baker T, Maharaj D, Fazli M, Williams M, Harris P",", , , , , ",
40151989,Body Composition Assessment Provides Prognostic Information in Patients With Cancer Affected by Chronic Graft vs. Host Disease.,2025 Apr,"Mishra A, Thapa R, Bigam K, Extermann M, Faramand R, Khimani F, Wang X, Baracos V, Pidala JA",", , , , , , , , ",
40151933,DNA Damage Response and Repair Genes and Anthracycline-Induced Cardiomyopathy in Childhood Cancer Survivors: A Report From the Children's Oncology Group and the Childhood Cancer Survivor Study.,2025 Mar 28,"Wang X, Singh P, Cejas RB, Zhou L, Sharafeldin N, Trainor PJ, Landier W, Cheng C, Hageman L, Wang F, Sapkota Y, Yasui Y, Hudson MM, Chow EJ, Armenian SH, Neglia JP, Hawkins DS, Ginsberg JP, Burridge PW, Armstrong GT, Bhatia S",", , , , , , , , , , , , , , , , , , , , ",
40151910,BORA overexpression promotes epithelial-mesenchymal transition and metastasis in ovarian cancer: Unveiling a novel therapeutic target for advanced disease.,2025 Apr,"Barber M, Boloix A, Parrilla A, Köber M, Avilés-Domínguez L, Ventosa N, Ramírez-Morales LDC, Perez-Benavente A, Gil-Moreno A, Colàs E, Morote J, Segura MF, Méndez O, Santamaria A",", , , , , , , , , , , , , ",
40151904,Bioprinted Patient-Derived Organoid Arrays Capture Intrinsic and Extrinsic Tumor Features for Advanced Personalized Medicine.,2025 Mar 28,"Han J, Jeong HJ, Choi J, Kim H, Kwon T, Myung K, Park K, Park JI, Sánchez S, Jung DB, Yu CS, Song IH, Shim JH, Myung SJ, Kang HW, Park TE",", , , , , , , , , , , , , , , ",
40151900,Multi-omics analyses reveal distinct molecular characteristics and transformation mechanisms of stage I-III micropapillary lung adenocarcinoma.,2025 Mar 28,"Qu Y, Feng X, Chen H, Tan F, Shao A, Pang J, Xue Q, Zheng B, Zheng W, Ou Q, Gao S, Shao K",", , , , , , , , , , , ",
40151899,Unravelling the determinants of life expectancy during and after the COVID-19 pandemic: a qualitative comparative analysis.,2025 Mar 28,"Li X, Zhu J, Man Park J, Mitchell J",", , , ",
